,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
124,124,1,50,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,not_all_assigned
125,125,1,50,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,not_all_assigned
126,126,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,not_all_assigned
127,127,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,not_all_assigned
128,128,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned
129,129,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
130,130,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,not_all_assigned
131,131,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,not_all_assigned
132,132,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,not_all_assigned
133,133,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,not_all_assigned
134,134,1,50,true,true,true,true,true,false,false,true,true,true,true,false,true,false,false,true,false,true,true,false
135,135,1,50,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,false,false,true,not_all_assigned
136,136,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,not_all_assigned
137,137,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true
138,138,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,not_all_assigned
139,139,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,not_all_assigned
140,140,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true
141,141,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned
142,142,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,not_all_assigned
143,143,1,50,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,not_all_assigned
