,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,fraction_multiple_condorcet_winners
215,15,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
216,16,1,100,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,0.0
217,17,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
218,18,1,100,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,0.0
219,19,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,0.0
220,20,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,0.0
221,21,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,0.0
222,22,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
223,23,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,0.0
224,24,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
225,25,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,0.0
226,26,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
227,27,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,0.0
228,28,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
229,29,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
230,30,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,0.0
231,31,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,0.0
232,32,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,0.0
233,33,1,100,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,0.0
234,34,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,0.0
235,35,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,0.0
236,36,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
237,37,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,0.0
238,38,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,0.0
239,39,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
240,40,1,100,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,0.0
241,41,1,100,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,0.0
242,42,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,0.0
243,43,1,100,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,0.0
244,44,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,0.0
245,45,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,0.0
246,46,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,0.0
247,47,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
248,48,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,0.0
249,49,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,0.0
250,50,1,100,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,0.0
251,51,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
252,52,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
253,53,1,100,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,0.0
254,54,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
255,55,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,0.0
